Title,Year,Rating,Genre,Runtime,Votes,Stars
Peaky Blinders,(2013–2022),8.8,"Crime, Drama",60 min,571506,"['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle', 'Helen McCrory']"
Gotham Knights,(2023– ),4.4,"Action, Crime, Drama",N/A,2660,"['Navia Ziraili Robinson', 'Fallon Smythe', 'Tyler DiChiara', 'Anna Lore']"
Game of Thrones,(2011–2019),9.2,"Action, Adventure, Drama",57 min,2142707,"['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']"
Lucky Hank,(2023– ),6.8,"Comedy, Drama",42 min,1064,"['Bob Odenkirk', 'Arthur Keng', 'Haig Sutherland', 'Shannon DeVido']"
The Walking Dead,(2010–2022),8.1,"Drama, Horror, Thriller",44 min,1017303,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']"
The White Lotus,(2021–2023),7.9,"Comedy, Drama",60 min,161115,"['Jennifer Coolidge', 'Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']"
65,(2023),5.7,"Action, Adventure, Drama",93 min,12282,"['Scott Beck', 'Bryan Woods', 'Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King']"
The Banshees of Inisherin,(2022),7.7,"Comedy, Drama",114 min,182183,"['Martin McDonagh', 'Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Pat Shortt']"
Shingeki no Kyojin,(2013–2023),9.0,"Animation, Action, Adventure",24 min,400980,"['Josh Grelle', 'Yûki Kaji', 'Yui Ishikawa', 'Marina Inoue']"
1923,(2022–2023),8.4,"Drama, Western",60 min,28685,"['Harrison Ford', 'Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']"
Creed III,(2023),7.3,"Drama, Sport",116 min,28603,"['Michael B. Jordan', 'Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris']"
Your Honor,(II) (2020–2023),7.6,"Crime, Drama, Thriller",57 min,57178,"['Bryan Cranston', 'Hope Davis', 'Michael Stuhlbarg', 'Lilli Kay']"
Breaking Bad,(2008–2013),9.5,"Crime, Drama, Thriller",49 min,1947857,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']"
Sex/Life,(2021– ),5.5,"Comedy, Drama, Romance",45 min,25966,"['Sarah Shahi', 'Mike Vogel', 'Adam Demos', 'Margaret Odette']"
Poker Face,(2023– ),8.0,"Crime, Drama, Mystery",58 min,23815,"['Natasha Lyonne', 'Benjamin Bratt', 'Simon Helberg', 'Pedro Hollywood']"
Triangle of Sadness,(2022),7.4,"Comedy, Drama",147 min,114206,"['Ruben Östlund', 'Thobias Thorwid', 'Harris Dickinson', 'Charlbi Dean', 'Jiannis Moustos']"
Babylon,(I) (2022),7.2,"Comedy, Drama, History",189 min,99073,"['Damien Chazelle', 'Brad Pitt', 'Margot Robbie', 'Jean Smart', 'Olivia Wilde']"
Mayor of Kingstown,(2021– ),8.2,"Crime, Drama, Thriller",N/A,34997,"['Jeremy Renner', 'Dianne Wiest', 'Hugh Dillon', 'Tobi Bamtefa']"
Air,(2023),8.3,Drama,112 min,385,"['Ben Affleck', 'Matt Damon', 'Jason Bateman', 'Ben Affleck', 'Chris Messina']"
A Man Called Otto,(2022),7.4,"Comedy, Drama",126 min,47914,"['Marc Forster', 'Tom Hanks', 'Mariana Treviño', 'Rachel Keller', 'John Higgins']"
Perry Mason,(2020– ),7.6,"Crime, Drama, History",60 min,22162,"['Matthew Rhys', 'Shea Whigham', 'Eric Lange', 'Juliet Rylance']"
Grey's Anatomy,(2005– ),7.6,"Drama, Romance",41 min,317683,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']"
Outer Banks,(2020– ),7.5,"Action, Crime, Drama",50 min,64550,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'J.D.']"
Carnival Row,(2019–2023),7.8,"Crime, Drama, Fantasy",56 min,73585,"['Orlando Bloom', 'Cara Delevingne', 'Simon McBurney', 'Tamzin Merchant']"
Im Westen nichts Neues,(2022),7.8,"Action, Drama, War",148 min,183555,"['Edward Berger', 'Felix Kammerer', 'Albrecht Schuch', 'Aaron Hilmer', 'Moritz Klaus']"
Better Call Saul,(2015–2022),8.9,"Crime, Drama",46 min,559593,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']"
Noise,(I) (2023),3.5,"Drama, Mystery, Thriller",89 min,1888,"['Steffen Geypens', ""Simon D'Huyvetter"", 'Katelijne Damen', 'Tony De Ghouy', 'Mieke De Groote']"
Extrapolations,(2023– ),5.6,"Drama, Mystery",N/A,1682,"['Diane Lane', 'Simon Deonarian', 'Eiza González', 'Marion Cotillard']"
Stranger Things,(2016–2024),8.7,"Drama, Fantasy, Horror",51 min,1226825,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']"
The Blacklist,(2013–2023),8.0,"Crime, Drama, Mystery",43 min,256975,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']"
The Boys,(2019– ),8.7,"Action, Comedy, Crime",60 min,538395,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']"
The Rookie,(2018– ),8.0,"Action, Crime, Drama",43 min,45397,"['Nathan Fillion', 'Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil""]"
Dragged Across Concrete,(2018),6.9,"Action, Crime, Drama",158 min,49581,"['S. Craig Zahler', 'Mel Gibson', 'Vince Vaughn', 'Tory Kittles', 'Michael Jai White']"
Beef,(2023– ),N/A,"Comedy, Drama",30 min,N/A,"['Joseph Lee', 'Young Mazino', 'David Choe', 'Remy Holt']"
Criminal Minds,(2005– ),8.1,"Crime, Drama, Mystery",42 min,205524,"['Kirsten Vangsness', 'Matthew Gray Gubler', 'A.J. Cook', 'Joe Mantegna']"
NCIS: Naval Criminal Investigative Service,(2003– ),7.8,"Action, Crime, Drama",60 min,152318,"['David McCallum', 'Sean Murray', 'Mark Harmon', 'Pauley Perrette']"
The Marvelous Mrs. Maisel,(2017–2023),8.7,"Comedy, Drama",57 min,117884,"['Rachel Brosnahan', 'Alex Borstein', 'Michael Zegen', 'Marin Hinkle']"
The Sopranos,(1999–2007),9.2,"Crime, Drama",55 min,415699,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']"
The Wire,(2002–2008),9.3,"Crime, Drama, Thriller",59 min,348425,"['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']"
Supernatural,(2005–2020),8.4,"Drama, Fantasy, Horror",44 min,454768,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']"
Tulsa King,(2022– ),8.1,"Crime, Drama",40 min,46093,"['Sylvester Stallone', 'Andrea Savage', 'Martin Starr', 'Jay Will']"
The Glory,(2022– ),8.1,"Drama, Mystery, Thriller",50 min,12469,"['Song Hye-Kyo', 'Lee Do-Hyun', 'Ji-Yeon Lim', 'Jona Xiao']"
Maestro,(2022– ),8.4,"Crime, Drama, Mystery",50 min,6006,"['Christopher Papakaliatis', 'Klelia Andriolatou', 'Maria Kavoyianni', 'Fanis Mouratidis']"
A Town Called Malice,(2023– ),6.5,"Crime, Drama, Thriller",N/A,719,"['Martha Plimpton', 'Eliza Butterworth', 'Tahirah Sharif', 'Daniel Sharman']"
Law & Order: Special Victims Unit,(1999– ),8.1,"Crime, Drama, Mystery",60 min,112099,"['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek']"
Top Gun: Maverick,(2022),8.3,"Action, Drama",130 min,556907,"['Joseph Kosinski', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
The Flash,(2014–2023),7.5,"Action, Adventure, Drama",43 min,352960,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']"
Modern Family,(2009–2020),8.5,"Comedy, Drama, Romance",22 min,443350,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']"
Star Wars: The Bad Batch,(2021– ),7.8,"Animation, Action, Adventure",N/A,40763,"['Ming-Na Wen', 'Dee Bradley Baker', 'Michelle Ang', 'Noshir Dalal']"
Peaky Blinders,(2013–2022),8.8,"Crime, Drama",60 min,571506,"['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle', 'Helen McCrory']"
Gotham Knights,(2023– ),4.4,"Action, Crime, Drama",N/A,2660,"['Navia Ziraili Robinson', 'Fallon Smythe', 'Tyler DiChiara', 'Anna Lore']"
The Magician's Elephant,(2023),6.6,"Animation, Adventure, Comedy",99 min,2056,"['Wendy Rogers', 'Noah Jupe', 'Mandy Patinkin', 'Brian Tyree Henry', 'Natasia Demetriou']"
Lucky Hank,(2023– ),6.8,"Comedy, Drama",42 min,1064,"['Bob Odenkirk', 'Arthur Keng', 'Haig Sutherland', 'Shannon DeVido']"
The Walking Dead,(2010–2022),8.1,"Drama, Horror, Thriller",44 min,1017303,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']"
The White Lotus,(2021–2023),7.9,"Comedy, Drama",60 min,161115,"['Jennifer Coolidge', 'Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']"
65,(2023),5.7,"Action, Adventure, Drama",93 min,12282,"['Scott Beck', 'Bryan Woods', 'Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King']"
The Banshees of Inisherin,(2022),7.7,"Comedy, Drama",114 min,182183,"['Martin McDonagh', 'Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Pat Shortt']"
Shingeki no Kyojin,(2013–2023),9.0,"Animation, Action, Adventure",24 min,400980,"['Josh Grelle', 'Yûki Kaji', 'Yui Ishikawa', 'Marina Inoue']"
1923,(2022–2023),8.4,"Drama, Western",60 min,28685,"['Harrison Ford', 'Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']"
Creed III,(2023),7.3,"Drama, Sport",116 min,28603,"['Michael B. Jordan', 'Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris']"
Your Honor,(II) (2020–2023),7.6,"Crime, Drama, Thriller",57 min,57178,"['Bryan Cranston', 'Hope Davis', 'Michael Stuhlbarg', 'Lilli Kay']"
Breaking Bad,(2008–2013),9.5,"Crime, Drama, Thriller",49 min,1947857,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']"
Sex/Life,(2021– ),5.5,"Comedy, Drama, Romance",45 min,25966,"['Sarah Shahi', 'Mike Vogel', 'Adam Demos', 'Margaret Odette']"
Poker Face,(2023– ),8.0,"Crime, Drama, Mystery",58 min,23815,"['Natasha Lyonne', 'Benjamin Bratt', 'Simon Helberg', 'Pedro Hollywood']"
Triangle of Sadness,(2022),7.4,"Comedy, Drama",147 min,114206,"['Ruben Östlund', 'Thobias Thorwid', 'Harris Dickinson', 'Charlbi Dean', 'Jiannis Moustos']"
Babylon,(I) (2022),7.2,"Comedy, Drama, History",189 min,99073,"['Damien Chazelle', 'Brad Pitt', 'Margot Robbie', 'Jean Smart', 'Olivia Wilde']"
Mayor of Kingstown,(2021– ),8.2,"Crime, Drama, Thriller",N/A,34997,"['Jeremy Renner', 'Dianne Wiest', 'Hugh Dillon', 'Tobi Bamtefa']"
Air,(2023),8.3,Drama,112 min,385,"['Ben Affleck', 'Matt Damon', 'Jason Bateman', 'Ben Affleck', 'Chris Messina']"
A Man Called Otto,(2022),7.4,"Comedy, Drama",126 min,47914,"['Marc Forster', 'Tom Hanks', 'Mariana Treviño', 'Rachel Keller', 'John Higgins']"
Perry Mason,(2020– ),7.6,"Crime, Drama, History",60 min,22162,"['Matthew Rhys', 'Shea Whigham', 'Eric Lange', 'Juliet Rylance']"
Grey's Anatomy,(2005– ),7.6,"Drama, Romance",41 min,317683,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']"
Outer Banks,(2020– ),7.5,"Action, Crime, Drama",50 min,64550,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'J.D.']"
Carnival Row,(2019–2023),7.8,"Crime, Drama, Fantasy",56 min,73585,"['Orlando Bloom', 'Cara Delevingne', 'Simon McBurney', 'Tamzin Merchant']"
Im Westen nichts Neues,(2022),7.8,"Action, Drama, War",148 min,183555,"['Edward Berger', 'Felix Kammerer', 'Albrecht Schuch', 'Aaron Hilmer', 'Moritz Klaus']"
Better Call Saul,(2015–2022),8.9,"Crime, Drama",46 min,559593,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']"
Noise,(I) (2023),3.5,"Drama, Mystery, Thriller",89 min,1888,"['Steffen Geypens', ""Simon D'Huyvetter"", 'Katelijne Damen', 'Tony De Ghouy', 'Mieke De Groote']"
Extrapolations,(2023– ),5.6,"Drama, Mystery",N/A,1682,"['Diane Lane', 'Simon Deonarian', 'Eiza González', 'Marion Cotillard']"
Stranger Things,(2016–2024),8.7,"Drama, Fantasy, Horror",51 min,1226825,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']"
The Blacklist,(2013–2023),8.0,"Crime, Drama, Mystery",43 min,256975,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']"
The Boys,(2019– ),8.7,"Action, Comedy, Crime",60 min,538395,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']"
The Rookie,(2018– ),8.0,"Action, Crime, Drama",43 min,45397,"['Nathan Fillion', 'Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil""]"
Dragged Across Concrete,(2018),6.9,"Action, Crime, Drama",158 min,49581,"['S. Craig Zahler', 'Mel Gibson', 'Vince Vaughn', 'Tory Kittles', 'Michael Jai White']"
Beef,(2023– ),N/A,"Comedy, Drama",30 min,N/A,"['Joseph Lee', 'Young Mazino', 'David Choe', 'Remy Holt']"
Criminal Minds,(2005– ),8.1,"Crime, Drama, Mystery",42 min,205524,"['Kirsten Vangsness', 'Matthew Gray Gubler', 'A.J. Cook', 'Joe Mantegna']"
NCIS: Naval Criminal Investigative Service,(2003– ),7.8,"Action, Crime, Drama",60 min,152318,"['David McCallum', 'Sean Murray', 'Mark Harmon', 'Pauley Perrette']"
The Marvelous Mrs. Maisel,(2017–2023),8.7,"Comedy, Drama",57 min,117884,"['Rachel Brosnahan', 'Alex Borstein', 'Michael Zegen', 'Marin Hinkle']"
The Sopranos,(1999–2007),9.2,"Crime, Drama",55 min,415699,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']"
The Wire,(2002–2008),9.3,"Crime, Drama, Thriller",59 min,348425,"['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']"
Supernatural,(2005–2020),8.4,"Drama, Fantasy, Horror",44 min,454768,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']"
Tulsa King,(2022– ),8.1,"Crime, Drama",40 min,46093,"['Sylvester Stallone', 'Andrea Savage', 'Martin Starr', 'Jay Will']"
The Glory,(2022– ),8.1,"Drama, Mystery, Thriller",50 min,12469,"['Song Hye-Kyo', 'Lee Do-Hyun', 'Ji-Yeon Lim', 'Jona Xiao']"
Maestro,(2022– ),8.4,"Crime, Drama, Mystery",50 min,6006,"['Christopher Papakaliatis', 'Klelia Andriolatou', 'Maria Kavoyianni', 'Fanis Mouratidis']"
A Town Called Malice,(2023– ),6.5,"Crime, Drama, Thriller",N/A,719,"['Martha Plimpton', 'Eliza Butterworth', 'Tahirah Sharif', 'Daniel Sharman']"
Law & Order: Special Victims Unit,(1999– ),8.1,"Crime, Drama, Mystery",60 min,112099,"['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek']"
Top Gun: Maverick,(2022),8.3,"Action, Drama",130 min,556907,"['Joseph Kosinski', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
The Flash,(2014–2023),7.5,"Action, Adventure, Drama",43 min,352960,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']"
Modern Family,(2009–2020),8.5,"Comedy, Drama, Romance",22 min,443350,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']"
Star Wars: The Bad Batch,(2021– ),7.8,"Animation, Action, Adventure",N/A,40763,"['Ming-Na Wen', 'Dee Bradley Baker', 'Michelle Ang', 'Noshir Dalal']"
Peaky Blinders,(2013–2022),8.8,"Crime, Drama",60 min,571506,"['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle', 'Helen McCrory']"
Gotham Knights,(2023– ),4.4,"Action, Crime, Drama",N/A,2660,"['Navia Ziraili Robinson', 'Fallon Smythe', 'Tyler DiChiara', 'Anna Lore']"
The Magician's Elephant,(2023),6.6,"Animation, Adventure, Comedy",99 min,2056,"['Wendy Rogers', 'Noah Jupe', 'Mandy Patinkin', 'Brian Tyree Henry', 'Natasia Demetriou']"
School Spirits,(2023– ),7.4,Drama,N/A,1078,"['Peyton List', 'Kristian Flores', 'Milo Manheim', 'Spencer Macpherson']"
The Walking Dead,(2010–2022),8.1,"Drama, Horror, Thriller",44 min,1017303,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']"
The White Lotus,(2021–2023),7.9,"Comedy, Drama",60 min,161115,"['Jennifer Coolidge', 'Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']"
65,(2023),5.7,"Action, Adventure, Drama",93 min,12282,"['Scott Beck', 'Bryan Woods', 'Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King']"
The Banshees of Inisherin,(2022),7.7,"Comedy, Drama",114 min,182183,"['Martin McDonagh', 'Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Pat Shortt']"
Shingeki no Kyojin,(2013–2023),9.0,"Animation, Action, Adventure",24 min,400980,"['Josh Grelle', 'Yûki Kaji', 'Yui Ishikawa', 'Marina Inoue']"
1923,(2022–2023),8.4,"Drama, Western",60 min,28685,"['Harrison Ford', 'Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']"
Creed III,(2023),7.3,"Drama, Sport",116 min,28603,"['Michael B. Jordan', 'Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris']"
Your Honor,(II) (2020–2023),7.6,"Crime, Drama, Thriller",57 min,57178,"['Bryan Cranston', 'Hope Davis', 'Michael Stuhlbarg', 'Lilli Kay']"
Breaking Bad,(2008–2013),9.5,"Crime, Drama, Thriller",49 min,1947857,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']"
Sex/Life,(2021– ),5.5,"Comedy, Drama, Romance",45 min,25966,"['Sarah Shahi', 'Mike Vogel', 'Adam Demos', 'Margaret Odette']"
Poker Face,(2023– ),8.0,"Crime, Drama, Mystery",58 min,23815,"['Natasha Lyonne', 'Benjamin Bratt', 'Simon Helberg', 'Pedro Hollywood']"
Triangle of Sadness,(2022),7.4,"Comedy, Drama",147 min,114206,"['Ruben Östlund', 'Thobias Thorwid', 'Harris Dickinson', 'Charlbi Dean', 'Jiannis Moustos']"
Babylon,(I) (2022),7.2,"Comedy, Drama, History",189 min,99073,"['Damien Chazelle', 'Brad Pitt', 'Margot Robbie', 'Jean Smart', 'Olivia Wilde']"
Mayor of Kingstown,(2021– ),8.2,"Crime, Drama, Thriller",N/A,34997,"['Jeremy Renner', 'Dianne Wiest', 'Hugh Dillon', 'Tobi Bamtefa']"
Air,(2023),8.3,Drama,112 min,385,"['Ben Affleck', 'Matt Damon', 'Jason Bateman', 'Ben Affleck', 'Chris Messina']"
A Man Called Otto,(2022),7.4,"Comedy, Drama",126 min,47914,"['Marc Forster', 'Tom Hanks', 'Mariana Treviño', 'Rachel Keller', 'John Higgins']"
Perry Mason,(2020– ),7.6,"Crime, Drama, History",60 min,22162,"['Matthew Rhys', 'Shea Whigham', 'Eric Lange', 'Juliet Rylance']"
Grey's Anatomy,(2005– ),7.6,"Drama, Romance",41 min,317683,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']"
Outer Banks,(2020– ),7.5,"Action, Crime, Drama",50 min,64550,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'J.D.']"
Carnival Row,(2019–2023),7.8,"Crime, Drama, Fantasy",56 min,73585,"['Orlando Bloom', 'Cara Delevingne', 'Simon McBurney', 'Tamzin Merchant']"
Im Westen nichts Neues,(2022),7.8,"Action, Drama, War",148 min,183555,"['Edward Berger', 'Felix Kammerer', 'Albrecht Schuch', 'Aaron Hilmer', 'Moritz Klaus']"
Better Call Saul,(2015–2022),8.9,"Crime, Drama",46 min,559593,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']"
Noise,(I) (2023),3.5,"Drama, Mystery, Thriller",89 min,1888,"['Steffen Geypens', ""Simon D'Huyvetter"", 'Katelijne Damen', 'Tony De Ghouy', 'Mieke De Groote']"
Extrapolations,(2023– ),5.6,"Drama, Mystery",N/A,1682,"['Diane Lane', 'Simon Deonarian', 'Eiza González', 'Marion Cotillard']"
Stranger Things,(2016–2024),8.7,"Drama, Fantasy, Horror",51 min,1226825,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']"
The Blacklist,(2013–2023),8.0,"Crime, Drama, Mystery",43 min,256975,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']"
The Boys,(2019– ),8.7,"Action, Comedy, Crime",60 min,538395,"['Karl Urban', 'Jack Quaid', 'Antony Starr', 'Erin Moriarty']"
The Rookie,(2018– ),8.0,"Action, Crime, Drama",43 min,45397,"['Nathan Fillion', 'Alyssa Diaz', 'Richard T. Jones', ""Melissa O'Neil""]"
Dragged Across Concrete,(2018),6.9,"Action, Crime, Drama",158 min,49581,"['S. Craig Zahler', 'Mel Gibson', 'Vince Vaughn', 'Tory Kittles', 'Michael Jai White']"
Beef,(2023– ),N/A,"Comedy, Drama",30 min,N/A,"['Joseph Lee', 'Young Mazino', 'David Choe', 'Remy Holt']"
Criminal Minds,(2005– ),8.1,"Crime, Drama, Mystery",42 min,205524,"['Kirsten Vangsness', 'Matthew Gray Gubler', 'A.J. Cook', 'Joe Mantegna']"
NCIS: Naval Criminal Investigative Service,(2003– ),7.8,"Action, Crime, Drama",60 min,152318,"['David McCallum', 'Sean Murray', 'Mark Harmon', 'Pauley Perrette']"
The Marvelous Mrs. Maisel,(2017–2023),8.7,"Comedy, Drama",57 min,117884,"['Rachel Brosnahan', 'Alex Borstein', 'Michael Zegen', 'Marin Hinkle']"
The Sopranos,(1999–2007),9.2,"Crime, Drama",55 min,415699,"['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']"
The Wire,(2002–2008),9.3,"Crime, Drama, Thriller",59 min,348425,"['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']"
Supernatural,(2005–2020),8.4,"Drama, Fantasy, Horror",44 min,454768,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']"
Tulsa King,(2022– ),8.1,"Crime, Drama",40 min,46093,"['Sylvester Stallone', 'Andrea Savage', 'Martin Starr', 'Jay Will']"
The Glory,(2022– ),8.1,"Drama, Mystery, Thriller",50 min,12469,"['Song Hye-Kyo', 'Lee Do-Hyun', 'Ji-Yeon Lim', 'Jona Xiao']"
Maestro,(2022– ),8.4,"Crime, Drama, Mystery",50 min,6006,"['Christopher Papakaliatis', 'Klelia Andriolatou', 'Maria Kavoyianni', 'Fanis Mouratidis']"
A Town Called Malice,(2023– ),6.5,"Crime, Drama, Thriller",N/A,719,"['Martha Plimpton', 'Eliza Butterworth', 'Tahirah Sharif', 'Daniel Sharman']"
Law & Order: Special Victims Unit,(1999– ),8.1,"Crime, Drama, Mystery",60 min,112099,"['Mariska Hargitay', 'Christopher Meloni', 'Ice-T', 'Dann Florek']"
Top Gun: Maverick,(2022),8.3,"Action, Drama",130 min,556907,"['Joseph Kosinski', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
The Flash,(2014–2023),7.5,"Action, Adventure, Drama",43 min,352960,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']"
Modern Family,(2009–2020),8.5,"Comedy, Drama, Romance",22 min,443350,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']"
Star Wars: The Bad Batch,(2021– ),7.8,"Animation, Action, Adventure",N/A,40763,"['Ming-Na Wen', 'Dee Bradley Baker', 'Michelle Ang', 'Noshir Dalal']"
Peaky Blinders,(2013–2022),8.8,"Crime, Drama",60 min,571506,"['Cillian Murphy', 'Paul Anderson', 'Sophie Rundle', 'Helen McCrory']"
Gotham Knights,(2023– ),4.4,"Action, Crime, Drama",N/A,2660,"['Navia Ziraili Robinson', 'Fallon Smythe', 'Tyler DiChiara', 'Anna Lore']"
The Magician's Elephant,(2023),6.6,"Animation, Adventure, Comedy",99 min,2056,"['Wendy Rogers', 'Noah Jupe', 'Mandy Patinkin', 'Brian Tyree Henry', 'Natasia Demetriou']"
School Spirits,(2023– ),7.4,Drama,N/A,1078,"['Peyton List', 'Kristian Flores', 'Milo Manheim', 'Spencer Macpherson']"
The Company You Keep,(2023– ),7.3,"Crime, Drama",44 min,2229,"['Milo Ventimiglia', 'Catherine Haena Kim', 'Sarah Wayne Callies', 'Polly Draper']"
The White Lotus,(2021–2023),7.9,"Comedy, Drama",60 min,161115,"['Jennifer Coolidge', 'Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']"
65,(2023),5.7,"Action, Adventure, Drama",93 min,12282,"['Scott Beck', 'Bryan Woods', 'Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King']"
The Banshees of Inisherin,(2022),7.7,"Comedy, Drama",114 min,182183,"['Martin McDonagh', 'Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Pat Shortt']"
Shingeki no Kyojin,(2013–2023),9.0,"Animation, Action, Adventure",24 min,400980,"['Josh Grelle', 'Yûki Kaji', 'Yui Ishikawa', 'Marina Inoue']"
1923,(2022–2023),8.4,"Drama, Western",60 min,28685,"['Harrison Ford', 'Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']"
Creed III,(2023),7.3,"Drama, Sport",116 min,28603,"['Michael B. Jordan', 'Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Wood Harris']"
Your Honor,(II) (2020–2023),7.6,"Crime, Drama, Thriller",57 min,57178,"['Bryan Cranston', 'Hope Davis', 'Michael Stuhlbarg', 'Lilli Kay']"
Breaking Bad,(2008–2013),9.5,"Crime, Drama, Thriller",49 min,1947857,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']"
Sex/Life,(2021– ),5.5,"Comedy, Drama, Romance",45 min,25966,"['Sarah Shahi', 'Mike Vogel', 'Adam Demos', 'Margaret Odette']"
Poker Face,(2023– ),8.0,"Crime, Drama, Mystery",58 min,23815,"['Natasha Lyonne', 'Benjamin Bratt', 'Simon Helberg', 'Pedro Hollywood']"
Triangle of Sadness,(2022),7.4,"Comedy, Drama",147 min,114206,"['Ruben Östlund', 'Thobias Thorwid', 'Harris Dickinson', 'Charlbi Dean', 'Jiannis Moustos']"
Babylon,(I) (2022),7.2,"Comedy, Drama, History",189 min,99073,"['Damien Chazelle', 'Brad Pitt', 'Margot Robbie', 'Jean Smart', 'Olivia Wilde']"
